Latitude;Longitude;Bank;Street/City;City/Street;Valid_To_Date;Avg_Weekly_Transactions
50.2270402778;12.8810552778;Fio banka;Karlovy Vary;I. P. Pavlova 469/8;2017-06-05;149900
50.2259325;12.8780197222;Fio banka;Karlovy Vary;Sadová 2026/19;2017-06-05;229080
50.227105;12.8410916667;Fio banka;Karlovy Vary;Kpt. Jaroše 375/31;2017-06-05;250016
50.218835;12.8058569444;Fio banka;Karlovy Vary;Obchodní 30;2017-06-05;221650
50.1809069444;12.6442519444;Fio banka;Sokolov;5. kvìtna 163;2017-06-05;342675
50.212265;15.8246041667;Fio banka;Hradec Králové;Masarykovo námìstí 511;2017-06-05;174300
50.1970152778;15.8489447222;Fio banka;Hradec Králové;Brnìnská 1825/23a;2017-06-05;239625
50.19911;15.7811236111;Fio banka;Hradec Králové;Kutnohorská 226;2017-06-05;147200
50.2137825;15.8184772222;Fio banka;Hradec Králové;Dukelská tøída 1713/7;2017-06-05;370080
50.4161861111;16.1618061111;Fio banka;Náchod;Tyršova 64;2017-06-05;289600
50.5616519444;15.913885;Fio banka;Trutnov;Školní 154;2017-06-05;201700
50.7752480556;15.0628722222;Fio banka;Liberec 1;Budyšínská 1400;2017-06-05;357120
50.76553;15.05662;Fio banka;Liberec 4;Fügnerova 667/7;2017-06-05;397890
50.7679080556;15.0579447222;Fio banka;Liberec 4;Moskevská 30/16;2017-06-05;569079
50.7773069444;15.0289461111;Fio banka;Liberec 11;Sousedská 600;2017-06-05;382050
49.9878672222;17.4658488889;Fio banka;Bruntál;K. Èapka 80/1;2017-06-05;340080
49.7455041667;18.6257111111;Fio banka;Èeskı Tìšín;Námìstí ÈSA 182/7;2017-06-05;301665
49.6860302778;18.3479575;Fio banka;Frıdek;Zámecké nám. 42;2017-06-05;230040
49.9676130556;17.6024330556;Fio banka;Horní Benešov;Mírové námìstí 11;2017-06-05;265545
49.853875;18.5435408333;Fio banka;Karviná;Fryštátská 73/3;2017-06-05;253900
49.59446;18.0116830556;Fio banka;Novı Jièín;Dobrovského 1292/4;2017-06-05;49617
49.9374861111;17.902795;Fio banka;Opava;Ostroná 262/9;2017-06-05;252035
49.8374211111;18.2852341667;Fio banka;Ostrava;Nádraní 537/39;2017-06-05;349515
49.83063;18.1666080556;Fio banka;Ostrava;Hlavní tøída 682/110;2017-06-05;157475
49.8373213889;18.1569825;Fio banka;Ostrava;Studentská è.p. 1770;2017-06-05;268640
49.6693877778;18.6749183333;Fio banka;Tøinec;Nám. Svobody 527;2017-06-05;148064
49.5892688889;17.2531038889;Fio banka;Olomouc;tø. Svobody 1067/32;2017-06-05;235760
49.6022533333;17.2204394444;Fio banka;Olomouc;Praská 255/41;2017-06-05;297800
49.4657661111;17.0158088889;Fio banka;Plumlov;Tyršovo námìstí;2017-06-05;262110
49.4713261111;17.1113580556;Fio banka;Prostìjov;Kostelní 6;2017-06-05;396450
49.4458105556;17.4506863889;Fio banka;Pøerov;Denisova 2907/11;2017-06-05;320040
49.96493;16.9713547222;Fio banka;Šumperk;Bulharská 229/1;2017-06-05;131900
49.9508102778;15.7953011111;Fio banka;Chrudim;Resselovo námìstí 61;2017-06-05;314755
50.0370694444;15.768865;Fio banka;Pardubice;Masarykovo námìstí 2799;2017-06-05;183400
50.0342191667;15.7527755556;Fio banka;Pardubice;Palackého tøída 2748;2017-06-05;170775
49.754075;16.4769958333;Fio banka;Svitavy;U Tøí mostù 844/2;2017-06-05;378160
49.9736144444;16.3968730556;Fio banka;Ústí nad Orlicí;17.listopadu 1394;2017-06-05;208680
49.3928877778;13.2858191667;Fio banka;Klatovy;Domalická 909;2017-06-05;85302
49.7465108333;13.3746125;Fio banka;Plzeò 3;Prešovská 13;2017-06-05;213280
49.7492713889;13.3694188889;Fio banka;Plzeò;Radèická 2861/2;2017-06-05;259000
49.7620572222;13.3645855556;Fio banka;Plzeò;Na Chmelnicích 128;2017-06-05;385992
49.7270527778;13.3427444444;Fio banka;Plzeò;U Letištì 1074/2;2017-06-05;611640
49.7322511111;13.4011761111;Fio banka;Plzeò;námìstí Generála Píky 2703/27;2017-06-05;180575
50.1443888889;14.1015861111;Fio banka;Kladno;Suchardova 515;2017-06-05;172590
50.0278136111;15.2004841667;Fio banka;Kolín;Karlovo námìstí 7;2017-06-05;254550
49.9511369444;14.04213;Fio banka;Králùv Dvùr (Beroun);Plzeòská 396;2017-06-05;357250
50.4128122222;14.9106441667;Fio banka;Mladá Boleslav;tø. T.G.Masaryka 1455;2017-06-05;326928
50.1862080556;15.0414938889;Fio banka;Nymburk;Námìstí Pøemyslovcù 129;2017-06-05;184416
49.6881388889;14.0105108333;Fio banka;Pøíbram;Praská 126;2017-06-05;235920
50.4569444444;13.3927591667;Fio banka;Chomutov;Èernovická 5430;2017-06-05;331080
50.4601530556;13.4182177778;Fio banka;Chomutov;Námìstí 1. máje 91;2017-06-05;127300
50.3564969444;13.7968111111;Fio banka;Louny;Èeská 158;2017-06-05;256200
50.5055111111;13.6420786111;Fio banka;Most;Moskevská 3336;2017-06-05;398400
50.6412519444;13.8247111111;Fio banka;Teplice;U Radnice 6/2;2017-06-05;424800
50.6608333333;14.0373205556;Fio banka;Ústí nad Labem;Dlouhá 3458/2A (Palác Jordán);2017-06-05;247950
49.6044788889;15.5794958333;Fio banka;Havlíèkùv Brod;Dolní 1;2017-06-05;340160
49.3951147222;15.5900194444;Fio banka;Jihlava;Masarykovo námìstí 20;2017-06-05;390900
49.4079086111;15.5799602778;Fio banka;Jihlava;Romana Havelky 4857/3;2017-06-05;255920
49.4319688889;15.2232080556;Fio banka;Pelhøimov;Dr. Tyrše 58;2017-06-05;243640
49.4335127778;15.2298438889;Fio banka;Pelhøimov;Slovanského bratrství 710;2017-06-05;79920
49.2161702778;15.877925;Fio banka;Tøebíè;Jihlavská brána 5/4;2017-06-05;287160
49.2121961111;15.8894330556;Fio banka;Tøebíè;Purkyòovo nám. 133/2;2017-06-05;425655
49.5604058333;15.9445530556;Fio banka;ïár nad Sázavou;Horní 2233/6;2017-06-05;589680
49.29791;17.3946738889;Fio banka;Kromìøí;Dobrovského 170/5;2017-06-05;66563
49.0700561111;17.46278;Fio banka;Uherské Hradištì;Velehradská 1206;2017-06-05;374440
49.4719219444;17.9707411111;Fio banka;Valašské Meziøíèí;Køíkovského 117/1;2017-06-05;232530
49.338355;17.9912158333;Fio banka;Vsetín;Na Pøíkopì 814;2017-06-05;198750
49.2265730556;17.6698480556;Fio banka;Zlín;Kvítková 4352;2017-06-05;358380
49.9131587189;17.3764712875;Èeská spoøitelna;Bruntálská 63;Bøidlièná;2017-06-05;252315
49.3005769329;16.6517746495;Èeská spoøitelna;Nádraní 42;Adamov;2017-06-05;149225
49.3532506157;16.6498465769;Èeská spoøitelna;Nádraní 2318/4;Blansko;2017-06-05;466000
49.169950748;16.5810385095;Èeská spoøitelna;Dlouhá 577/3;Brno;2017-06-05;40935
49.2062432045;16.6755381886;Èeská spoøitelna;Masarova 2428/9;Brno;2017-06-05;427095
49.2023920802;16.6403647151;Èeská spoøitelna;Stará osada 3984/15;Brno;2017-06-05;87210
49.3984102944;17.6730246541;Èeská spoøitelna;6. kvìtna 47;Bystøice pod Hostınem;2017-06-05;52122
49.6756727278;18.3420955242;Èeská spoøitelna;Stará cesta 91;Frıdek-Místek;2017-06-05;189875
50.1965931505;15.8401783939;Èeská spoøitelna;tøída Edvarda Beneše 1797/1b;Hradec Králové;2017-06-05;326300
48.7440242019;16.8697479515;Èeská spoøitelna;Hranièní 1257;Bøeclav;2017-06-05;361620
50.6996222634;14.5409064639;Èeská spoøitelna;Šluknovská 3080;Èeská Lípa;2017-06-05;340650
50.0037192214;14.5747436649;Èeská spoøitelna;Obchodní 111;Èestlice;2017-06-05;298680
50.7701758571;14.1971056357;Èeská spoøitelna;Uhelná 1896/2;Dìèín;2017-06-05;77020
49.6741501051;18.3244970533;Èeská spoøitelna;17. listopadu 2262;Frıdek-Místek;2017-06-05;223510
49.6051661177;15.6015960663;Èeská spoøitelna;Strojírenská 3581;Havlíèkùv Brod;2017-06-05;61635
49.5571073178;17.7498201581;Èeská spoøitelna;Zborovská 2008;Hranice;2017-06-05;256995
50.0742387456;12.3746743545;Èeská spoøitelna;Evropská 175/32;Cheb;2017-06-05;335880
49.948723379;15.8100031785;Èeská spoøitelna;Slovenského národního povstání 1060;Chrudim;2017-06-05;128825
49.4081190823;15.5797010762;Èeská spoøitelna;Romana Havelky 4857/3;Jihlava;2017-06-05;342050
49.1439439617;15.0221844868;Èeská spoøitelna;Jáchymova 838;Jindøichùv Hradec;2017-06-05;297192
49.3821210108;13.2964948303;Èeská spoøitelna;ul. 5. kvìtna 689;Klatovy;2017-06-05;553644
50.0880701947;17.6954209716;Èeská spoøitelna;Revoluèní 2312/27;Krnov;2017-06-05;233225
50.1884035131;15.0530462877;Èeská spoøitelna;Podìbradská 1037;Nymburk;2017-06-05;282310
49.9317571154;17.8779493076;Èeská spoøitelna;Olomoucká 2844/115;Opava;2017-06-05;317100
49.8715455255;18.4247477506;Èeská spoøitelna;Masarykova tøída 1333;Orlová;2017-06-05;282000
49.7791689609;13.369438807;Èeská spoøitelna;Gerská 2030/23;Plzeò;2017-06-05;262620
49.4458125802;17.4505931827;Èeská spoøitelna;Denisova 2907/11;Pøerov;2017-06-05;298655
49.6666834449;13.9982594069;Èeská spoøitelna;Brodská 496;Pøíbram;2017-06-05;156750
50.0923098696;13.7243202892;Èeská spoøitelna;Plzeòská 2572/2;Rakovník;2017-06-05;238440
49.9574100257;16.9690805722;Èeská spoøitelna;Vøesová 2908/11;Šumperk;2017-06-05;452350
49.3880130191;14.6924245707;Èeská spoøitelna;Sobìslavská 3045;Tábor;2017-06-05;208145
50.5628306983;15.8966666874;Èeská spoøitelna;ikova 515;Trutnov;2017-06-05;344890
50.677996642;14.0368875705;Èeská spoøitelna;Krušnohorská 3371/2;Ústí nad Labem;2017-06-05;37425
50.9092280878;14.623506746;Èeská spoøitelna;Národní 3314;Varnsdorf;2017-06-05;277270
49.3324666151;18.0044374663;Èeská spoøitelna;Generála Klapálka 300;Vsetín;2017-06-05;275520
49.2745090528;16.9893685335;Èeská spoøitelna;U Jandovky 127/2;Vyškov;2017-06-05;141552
49.55757942;15.9346812992;Èeská spoøitelna;Strojírenská 2244;ïár nad Sázavou;2017-06-05;325680
50.0973585038;14.4649297494;Èeská spoøitelna;Molákova 578/614;Praha 8;2017-06-05;37303
50.7387588462;15.1676771459;Èeská spoøitelna;U Kostela 4186/35;Jablonec nad Nisou;2017-06-05;59864
50.2269426122;17.202980298;Èeská spoøitelna;Dukelská 717/2;Jeseník;2017-06-05;220320
49.4134381222;15.5923690744;Èeská spoøitelna;Kollárova 2762/17;Jihlava;2017-06-05;318654
50.1344889326;14.1290844948;Èeská spoøitelna;Obráncù Míru 2427;Kladno;2017-06-05;218500
49.5991160919;18.1431409342;Èeská spoøitelna;Záhumenní 351/3b;Kopøivnice;2017-06-05;243300
49.9600371916;15.2839109565;Èeská spoøitelna;Masarykova 187;Kutná Hora;2017-06-05;129792
49.7035610043;17.0768250712;Èeská spoøitelna;Vítìzná 173/1a;Litovel;2017-06-05;185400
50.3546055992;13.8054849473;Èeská spoøitelna;Hrnèíøská 2700;Louny;2017-06-05;373005
50.4090016255;16.1588547452;Èeská spoøitelna;Praská 1764;Náchod;2017-06-05;250530
50.1437067999;15.1161719901;Èeská spoøitelna;Na Valech 54;Podìbrady;2017-06-05;155050
50.0501945841;14.5439227381;Èeská spoøitelna;plukovníka Mráze 1182/24;Praha 10;2017-06-05;442600
49.5920027289;17.2744256087;Èeská spoøitelna;Tø. Kosmonautù 113/27;Olomouc;2017-06-05;249600
49.9406562338;17.9116057032;Èeská spoøitelna;Holasická 1154/2;Opava;2017-06-05;238975
49.7851389925;18.263643584;Èeská spoøitelna;Dr. Martínka 1617/10;Ostrava - Hrabùvka;2017-06-05;210600
49.8398793508;18.2830106027;Èeská spoøitelna;30. dubna 2976/3a;Ostrava - Moravská Ostrava;2017-06-05;485400
49.2034829008;17.5385051426;Èeská spoøitelna;Hlavní 1255;Otrokovice;2017-06-05;859860
50.0405532922;14.5585957143;Èeská spoøitelna;Veronské nám. 403;Praha 10 - Horní Mìcholupy;2017-06-05;212850
50.0502027062;14.3411965403;Èeská spoøitelna;Sluneèní námìstí 2567/8;Praha 5 - Stodùlky;2017-06-05;250200
49.9679299273;14.3864984313;Èeská spoøitelna;Elišky Pøemyslovny 1269;Praha 5 - Zbraslav;2017-06-05;53890
50.065434715;14.3018263806;Èeská spoøitelna;Makovského 1219/27;Praha 6 - Øepy;2017-06-05;169050
49.4738713011;17.1272305005;Èeská spoøitelna;Janáèkova 4266/13;Prostìjov;2017-06-05;265265
49.4543717466;17.4553773059;Èeská spoøitelna;Bayerova 2867/7;Pøerov;2017-06-05;441315
49.6763700924;14.0006406267;Èeská spoøitelna;Školní 52;Pøíbram;2017-06-05;244216
49.7349324228;13.5939994752;Èeská spoøitelna;Boeny Nìmcové 960;Rokycany;2017-06-05;387120
49.0754307678;17.4472835273;Èeská spoøitelna;Hradišská 1955;Staré Mìsto;2017-06-05;160975
49.2382676039;13.5211587443;Èeská spoøitelna;Hrádecká 31;Sušice;2017-06-05;306480
49.7561868762;16.4663227309;Èeská spoøitelna;námìstí Míru 192/95;Svitavy;2017-06-05;157320
49.3475907489;16.419157262;Èeská spoøitelna;Nádraní 1917;Tišnov;2017-06-05;207744
50.1121259651;14.617392026;Èeská spoøitelna;Chodovická 2311/30;Praha 9 - Horní Poèernice;2017-06-05;272950
49.7713601312;17.1148369861;Èeská spoøitelna;Dukelská 1157;Unièov;2017-06-05;441250
49.4757073797;17.9749950779;Èeská spoøitelna;Boeny Nìmcové 411;Valašské Meziøíèí;2017-06-05;298520
49.2197977782;17.8514733115;Èeská spoøitelna;Masarykovo nám. 1040;Vizovice;2017-06-05;81693
49.2259159399;17.6870705578;Èeská spoøitelna;tøída Tomáše Bati 4074;Zlín;2017-06-05;241920
49.2331246571;17.6596265066;Èeská spoøitelna;Okruní 4701;Zlín;2017-06-05;304710
49.4073078379;15.5695100944;Èeská spoøitelna;Kainarova 4496/1;Jihlava;2017-06-05;693432
49.8514512624;14.4065867366;Èeská spoøitelna;Štìchovice 383;Štìchovice;2017-06-05;199940
50.2164556648;15.812570069;Èeská spoøitelna;Nádraní 1704;Hradec Králové;2017-06-05;870840
48.9382028374;16.7357559986;Èeská spoøitelna;Bratislavská ul.;Hustopeèe;2017-06-05;648648
49.401592976;13.2799866301;Èeská spoøitelna;Nádraní 613;Klatovy;2017-06-05;172080
49.2990430641;14.1460279855;Èeská spoøitelna;Nádraní 2294;Písek;2017-06-05;377200
49.7463221046;13.3631913141;Èeská spoøitelna;Husova 2713/60;Plzeò;2017-06-05;234810
49.4139723375;14.6751376734;Èeská spoøitelna;Husovo nám.2864;Tábor;2017-06-05;398592
50.6207032686;15.6191108408;Èeská spoøitelna;Lánovská 1527;Vrchlabí;2017-06-05;385785
49.800779962;18.2279784534;Èeská spoøitelna;Rudná 3114/114;Ostrava - Zábøeh;2017-06-05;182010
49.1573647657;16.6272650564;Èeská spoøitelna;Skandinávská 128/2;Brno;2017-06-05;171240
50.1534825136;13.8992663129;Èeská spoøitelna;Komenského námìstí 199;Nové Strašecí;2017-06-05;419130
49.473054609;17.0912133175;Èeská spoøitelna;Plumlovská 4210/104;Prostìjov;2017-06-05;177240
49.4599996963;18.1308723523;Èeská spoøitelna;Meziøíèská 2306;Ronov pod Radhoštìm;2017-06-05;282600
50.2857743751;14.8244935801;Èeská spoøitelna;Platanová 596;Benátky nad Jizerou;2017-06-05;297720
49.9572485836;14.0593422392;Èeská spoøitelna;Plzeòská 230;Beroun;2017-06-05;198555
49.2185267592;16.5762392898;Èeská spoøitelna;Makovského námìstí 2574/1;Brno;2017-06-05;528444
49.2060831271;16.6643837412;Èeská spoøitelna;arošická 4292/30;Brno;2017-06-05;120100
50.027629979;15.1972493247;Èeská spoøitelna;Námìstí Republiky 43;Kolín;2017-06-05;31692
50.5114509256;14.060904891;Èeská spoøitelna;Terezínská 1120;Lovosice;2017-06-05;226436
49.7787647223;13.3812326801;Èeská spoøitelna;Plaská 1265/7;Plzeò;2017-06-05;291585
50.0827163282;14.5086220426;Èeská spoøitelna;Poèernická 272/96;Praha 10;2017-06-05;337722
50.0500342235;14.5389820777;Èeská spoøitelna;Hornomìcholupská 5;Praha 10 - Horní Mìcholupy;2017-06-05;486650
50.0725585812;14.4970138666;Èeská spoøitelna;V Olšinách 3140/108;Praha 10 - Strašnice;2017-06-05;248525
49.6749372799;13.9844679708;Èeská spoøitelna;Podbrdská 529;Pøíbram;2017-06-05;296870
48.9524403817;17.3862916816;Èeská spoøitelna;Chaloupky 585;Veselí nad Moravou;2017-06-05;291280
49.8799693121;16.8741922974;Èeská spoøitelna;Kosmonautù 2109/7;Zábøeh;2017-06-05;366066
49.9886137343;17.4636264548;Èeská spoøitelna;Fügnerova 108/7;Bruntál;2017-06-05;213030
49.8057320667;16.116066827;Èeská spoøitelna;Proseè 63;Proseè;2017-06-05;301980
50.7439513932;14.1923446225;Èeská spoøitelna;Vítìzství 120;Dìèín;2017-06-05;222225
49.3962186542;13.2896515842;Èeská spoøitelna;Plzeòská 90;Klatovy;2017-06-05;217080
50.6261606907;16.2401335578;Èeská spoøitelna;5. kvìtna 113;Mezimìstí;2017-06-05;241170
49.8049047775;18.2405755456;Èeská spoøitelna;Jugoslávská 3038/40a;Ostrava - Zábøeh;2017-06-05;43337
49.2747568114;16.4376267992;Èeská spoøitelna;9.kvìtna 319;Veverská Bítıška;2017-06-05;188550
49.732368731;14.6670864836;Èeská spoøitelna;Dr. E. Beneše 26;Bystøice;2017-06-05;170520
49.8668074171;18.5344627536;Èeská spoøitelna;nám. Budovatelù 1402/18;Karviná;2017-06-05;37776
49.2142449667;17.5143868794;Èeská spoøitelna;Tylova 950;Otrokovice;2017-06-05;281745
50.0986023449;14.4329624961;Èeská spoøitelna;Dukelskıch hrdinù 471/29;Praha 7;2017-06-05;230680
48.9035641107;17.7028412859;Èeská spoøitelna;Na kopci 321;Strání;2017-06-05;384615
50.6259242238;15.8163186702;Èeská spoøitelna;nám. Svornosti 475;Svoboda nad Úpou;2017-06-05;535842
50.509831368;14.1497805142;Èeská spoøitelna;nám. ÈSA 181;Terezín;2017-06-05;496800
49.0039355279;14.7719686383;Èeská spoøitelna;Masarykovo nám. 100;Tøeboò;2017-06-05;325640
50.074169211;14.4281260347;Èeská spoøitelna;Na Bojišti 1452/5;Praha 2;2017-06-05;197580
50.0562131785;14.4338221295;Èeská spoøitelna;námìstí Hrdinù 1634/3;Praha 4;2017-06-05;334040
49.6613132171;17.2837936836;Èeská spoøitelna;6. kvìtna 616;Bohuòovice;2017-06-05;320240
50.5188297898;14.9728740769;Èeská spoøitelna;Víta Nejedlého 274;Mnichovo Hradištì;2017-06-05;409725
49.3896900106;13.4746533536;Èeská spoøitelna;Námìstí 2;Plánice;2017-06-05;265405
49.1442694089;15.0031849108;Èeská spoøitelna;Panská 136/I;Jindøichùv Hradec;2017-06-05;297290
50.6678563697;15.0953948813;Èeská spoøitelna;Rychnovská 44;Hodkovice nad Mohelkou;2017-06-05;257460
49.2163365448;17.626629804;Èeská spoøitelna;Tøída Tomáše Bati 258;Zlín;2017-06-05;335832
49.3941969762;15.5758480339;Èeská spoøitelna;ikova 1872/89;Jihlava;2017-06-05;160132
49.4395554657;12.9247257895;Èeská spoøitelna;Msgre. B. Staška 264;Domalice;2017-06-05;415800
49.6071820656;15.5802545338;Èeská spoøitelna;Havlíèkovo námìstí 168;Havlíèkùv Brod;2017-06-05;277776
48.8546470716;17.1252548339;Èeská spoøitelna;Národní tøída 3654/44;Hodonín;2017-06-05;63329
49.9679142207;14.513882172;Èeská spoøitelna;Budìjovická 59;Jesenice;2017-06-05;430250
48.9957733897;16.8603130165;Èeská spoøitelna;Masarykova 99;Klobouky u Brna;2017-06-05;44915
49.0249548874;17.6459125135;Èeská spoøitelna;Masarykovo nám. 71;Uherskı Brod;2017-06-05;213255
50.0825203389;14.4248603021;Èeská spoøitelna;Václavské námìstí 784/26;Praha 1;2017-06-05;386760
49.1381354772;16.633017702;Èeská spoøitelna;U dálnice 777;Modøice;2017-06-05;173010
49.4021881964;15.6015054342;Èeská spoøitelna;Bøezinova 4248/62;Jihlava;2017-06-05;306315
50.2203291019;12.1906625643;Èeská spoøitelna;Hlavní 2852/57;Aš;2017-06-05;57108
49.2945738957;14.4690556497;Èeská spoøitelna;nám. T. G. Masaryka 4;Bechynì;2017-06-05;357120
50.5018862741;14.8043125018;Èeská spoøitelna;Masarykovo námìstí 12;Bìlá pod Bezdìzem;2017-06-05;326565
50.2860167554;14.8283218089;Èeská spoøitelna;Na Burse 595;Benátky nad Jizerou;2017-06-05;210624
49.7826694645;14.6890635027;Èeská spoøitelna;Tyršova 162;Benešov;2017-06-05;195850
50.5491076639;13.7744894289;Èeská spoøitelna;elivského 52/3;Bílina;2017-06-05;346800
49.756660349;18.0165964142;Èeská spoøitelna;Slezské námìstí 11/40;Bílovec;2017-06-05;456850
49.3615212103;16.6434719414;Èeská spoøitelna;Wanklovo nám. 1436/3;Blansko;2017-06-05;427905
49.4258269286;13.8819963947;Èeská spoøitelna;tø. J. P. Koubka 10;Blatná;2017-06-05;267880
49.5814381006;13.5400563632;Èeská spoøitelna;Masarykovo námìstí 90;Blovice;2017-06-05;232230
49.9029056435;18.3555391292;Èeská spoøitelna;tø. Dr. E. Beneše 1124;Bohumín;2017-06-05;197475
49.0370640395;17.8120172584;Èeská spoøitelna;Sušilova 232;Bojkovice;2017-06-05;267040
49.7118948741;12.7737557385;Èeská spoøitelna;námìstí Republiky 634;Bor;2017-06-05;421872
48.9010638958;14.6426190945;Èeská spoøitelna;ikovo nám. 50;Borovany;2017-06-05;467400
50.1860860901;14.6615882182;Èeská spoøitelna;Ivana Olbrachta 36/1;Brandıs nad Labem-Stará Boleslav;2017-06-05;161670
49.1939858602;16.6098661705;Èeská spoøitelna;Jánská 446/6;Brno;2017-06-05;189315
49.1940643855;16.6103362573;Èeská spoøitelna;Jánská 448/10;Brno;2017-06-05;207300
49.2112377452;16.6338304275;Èeská spoøitelna;Dukelská tøída 138/60;Brno;2017-06-05;432450
49.2001820445;16.6050207168;Èeská spoøitelna;Kounicova 952/4;Brno;2017-06-05;140175
49.2073834406;16.6041494691;Èeská spoøitelna;Lidická 960/81;Brno;2017-06-05;161850
